Section Name,Expected Length (km),Start Point,End Point,Start Lat,Start Lng,End Lat,End Lng,Actual Distance (km),Distance Verified,Geocoding Status,Directions Status
Вакарел – Ихтиман,19,Между Вакарел,Ихтиман,42.5593528,23.7097576,42.4377012,23.8162903,21.215,True,success,success
"Разклон за Костенец – Разклон за Мухово (вкл. тунел ""Траянови врата"")",23,От разклона за Костенец,До разклона за Мухово,42.3090467,23.859738,42.42114369999999,23.9958465,32.693,False,success,success
"Разклон за Костенец – Тунел ""Траянови врата""",9,От разклона за Костенец,"До тунел ""Траянови врата""",42.3090467,23.859738,42.354889,23.9177034,14.404,False,success,success
Разклон за Велинград – Разклон за Калугерово,10,От разклона за Велинград,До разклона за Калугерово,42.0275439,23.9915523,42.326786,24.1699052,48.729,False,success,success
Пътен възел Пазарджик – Пътен възел Цалапица,22,От пътен възел Пазарджик,До пътен възел Цалапица,42.1927654,24.3335662,42.180198,24.5681231,22.507,True,success,success
Пътен възел Пазарджик – Пътен възел Пловдив Запад,28,От пътен възел Пазарджик,До пътен възел Пловдив Запад,42.1927654,24.3335662,42.12532420000001,24.6882066,34.596,False,success,success
Пътен възел Пазарджик – Пътен възел Пловдив Север,35,От пътен възел Пазарджик,До пътен възел Пловдив Север,42.1927654,24.3335662,42.1354079,24.7452904,39.267,True,success,success
Пътен възел Пловдив Изток – Пютен възел Белозем,25,От пътен възел Пловдив Изток,До пютен възел Белозем,42.134514,24.750652,42.2018642,25.0493269,35.536,False,success,success
Пютен възел Оризово – Пютен възел Чирпан,9,От пютен възел Оризово,До пютен възел Чирпан,42.2098063,25.1652156,42.2020702,25.3248541,15.025,False,success,success
Пютен възел Чирпан – Първия разклон за Стара Загора,9,От пютен възел Чирпан,До първия разклон за Стара Загора,42.2020702,25.3248541,42.4257769,25.6344644,45.275,False,success,success
Пютен възел Стара Загора – Пютен възел Нова Загора,30,От пютен възел Стара Загора,До пютен възел Нова Загора,42.4257769,25.6344644,42.4936347,26.0085439,33.411,True,success,success
Пютен възел Нова Загора – Пютен възел Сливен,36,От пютен възел Нова Загора,До пютен възел Сливен,42.4936347,26.0085439,42.6816536,26.3228685,38.072,True,success,success
Пютен възел Сливен – Пютен възел Зимница,13,От пютен възел Сливен,До пютен възел Зимница,42.6816536,26.3228685,42.5824594,26.6017167,30.641,False,success,success
Пютен възел Карнобат – Пютен възел Българово,26,От пютен възел Карнобат,До пютен възел Българово,42.6511052,26.9803527,42.6219466,27.3064912,37.172,False,success,success
Пютен възел Българово – Разклон за Айтос,30,От пютен възел Българово,До разклона за Айтос,42.6219466,27.3064912,42.7031175,27.250644,16.06,False,success,success
Разклон за Айтос – Северен обход на Бургас,8,От разклона за Айтос,До новото трасе на Северен обход на Бургас,42.7031175,27.250644,42.5135656,27.4855315,31.834,False,success,success
